File, Count, Channel, Segment, Bin, Value
Feedback001, 1, EMG_Corr_RMS, 1, 1, -1.613148E-04
Feedback001, 1, EMG_Corr_RMS, 1, 2, 2.954854E-04
Feedback001, 1, EMG_Corr_RMS, 1, 3, 0
Feedback001, 1, EMG_Corr_RMS, 1, 4, 2.298185E-04
Feedback001, 1, EMG_Corr_RMS, 1, 5, 9.530925E-04
Feedback001, 1, EMG_Corr_RMS, 1, 6, 9.952567E-04
Feedback001, 1, EMG_Corr_RMS, 1, 7, 2.236019E-02
Feedback001, 1, EMG_Corr_RMS, 1, 8, 1.790402E-02
Feedback001, 1, EMG_Corr_RMS, 1, 9, 1.777584E-03
Feedback001, 1, EMG_Corr_RMS, 1, 10, 8.436595E-04
Feedback001, 1, EMG_Corr_RMS, 1, 11, 2.694675E-03
Feedback001, 1, EMG_Corr_RMS, 1, 12, 6.970377E-04
Feedback001, 1, EMG_Corr_RMS, 1, 13, 3.616207E-04
Feedback001, 1, EMG_Corr_RMS, 1, 14, 7.417819E-04
Feedback001, 1, EMG_Zygo_RMS, 1, 1, 1.841341E-02
Feedback001, 1, EMG_Zygo_RMS, 1, 2, 2.012703E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 1, 4, 4.631319E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 5, 5.097389E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 6, 3.231837E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 7, 0.1752258
Feedback001, 1, EMG_Zygo_RMS, 1, 8, 7.416368E-02
Feedback001, 1, EMG_Zygo_RMS, 1, 9, 5.573217E-02
Feedback001, 1, EMG_Zygo_RMS, 1, 10, 6.407627E-02
Feedback001, 1, EMG_Zygo_RMS, 1, 11, 3.926441E-02
Feedback001, 1, EMG_Zygo_RMS, 1, 12, 0.0235738
Feedback001, 1, EMG_Zygo_RMS, 1, 13, 1.625937E-02
Feedback001, 1, EMG_Zygo_RMS, 1, 14, 5.935776E-03
Feedback001, 1, EMG_Corr_RMS, 2, 1, 2.64904E-04
Feedback001, 1, EMG_Corr_RMS, 2, 2, -7.554987E-04
Feedback001, 1, EMG_Corr_RMS, 2, 3, 0
Feedback001, 1, EMG_Corr_RMS, 2, 4, 1.816181E-03
Feedback001, 1, EMG_Corr_RMS, 2, 5, 5.147285E-04
Feedback001, 1, EMG_Corr_RMS, 2, 6, -7.660962E-04
Feedback001, 1, EMG_Corr_RMS, 2, 7, -9.744368E-04
Feedback001, 1, EMG_Corr_RMS, 2, 8, -2.37155E-04
Feedback001, 1, EMG_Corr_RMS, 2, 9, -6.344968E-04
Feedback001, 1, EMG_Corr_RMS, 2, 10, 9.806966E-04
Feedback001, 1, EMG_Corr_RMS, 2, 11, 1.114852E-03
Feedback001, 1, EMG_Corr_RMS, 2, 12, -3.195298E-04
Feedback001, 1, EMG_Corr_RMS, 2, 13, -5.417466E-04
Feedback001, 1, EMG_Corr_RMS, 2, 14, -1.429392E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 1, -5.724537E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 2, -1.760396E-03
Feedback001, 1, EMG_Zygo_RMS, 2, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 2, 4, -2.009044E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 5, -7.028743E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 6, -1.676478E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 7, -4.204558E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 8, 2.091653E-03
Feedback001, 1, EMG_Zygo_RMS, 2, 9, -1.232548E-03
Feedback001, 1, EMG_Zygo_RMS, 2, 10, 8.56149E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 11, -6.798911E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 12, 4.411037E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 13, -1.867749E-03
Feedback001, 1, EMG_Zygo_RMS, 2, 14, -1.984831E-03
Feedback001, 1, EMG_Corr_RMS, 3, 1, 1.133506E-03
Feedback001, 1, EMG_Corr_RMS, 3, 2, 7.403435E-04
Feedback001, 1, EMG_Corr_RMS, 3, 3, 0
Feedback001, 1, EMG_Corr_RMS, 3, 4, 3.47402E-03
Feedback001, 1, EMG_Corr_RMS, 3, 5, 1.360715E-02
Feedback001, 1, EMG_Corr_RMS, 3, 6, 3.516371E-03
Feedback001, 1, EMG_Corr_RMS, 3, 7, 3.260851E-04
Feedback001, 1, EMG_Corr_RMS, 3, 8, 1.039104E-03
Feedback001, 1, EMG_Corr_RMS, 3, 9, 1.124249E-03
Feedback001, 1, EMG_Corr_RMS, 3, 10, 1.227187E-03
Feedback001, 1, EMG_Corr_RMS, 3, 11, 4.365109E-05
Feedback001, 1, EMG_Corr_RMS, 3, 12, 6.804902E-04
Feedback001, 1, EMG_Corr_RMS, 3, 13, 6.020754E-04
Feedback001, 1, EMG_Corr_RMS, 3, 14, 1.14072E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 1, 1.643534E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 2, 1.241114E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 3, 4, 1.973052E-02
Feedback001, 1, EMG_Zygo_RMS, 3, 5, 0.1102081
Feedback001, 1, EMG_Zygo_RMS, 3, 6, 5.648948E-02
Feedback001, 1, EMG_Zygo_RMS, 3, 7, 5.951576E-02
Feedback001, 1, EMG_Zygo_RMS, 3, 8, 0.0303057
Feedback001, 1, EMG_Zygo_RMS, 3, 9, 4.515341E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 10, 4.871362E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 11, 7.827114E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 12, 7.562751E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 13, 3.200624E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 14, 4.673342E-03
Feedback001, 1, EMG_Corr_RMS, 4, 1, 5.305267E-04
Feedback001, 1, EMG_Corr_RMS, 4, 2, -4.974538E-04
Feedback001, 1, EMG_Corr_RMS, 4, 3, 0
Feedback001, 1, EMG_Corr_RMS, 4, 4, 6.213838E-04
Feedback001, 1, EMG_Corr_RMS, 4, 5, -6.309217E-04
Feedback001, 1, EMG_Corr_RMS, 4, 6, -8.876482E-05
Feedback001, 1, EMG_Corr_RMS, 4, 7, -6.80892E-04
Feedback001, 1, EMG_Corr_RMS, 4, 8, -7.825855E-04
Feedback001, 1, EMG_Corr_RMS, 4, 9, -9.519225E-04
Feedback001, 1, EMG_Corr_RMS, 4, 10, 1.70557E-03
Feedback001, 1, EMG_Corr_RMS, 4, 11, 8.275453E-05
Feedback001, 1, EMG_Corr_RMS, 4, 12, -3.133502E-04
Feedback001, 1, EMG_Corr_RMS, 4, 13, 4.624014E-03
Feedback001, 1, EMG_Corr_RMS, 4, 14, 1.429308E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 1, 4.316857E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 2, -3.559145E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 4, 4, -5.101389E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 5, 1.042336E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 6, 2.685494E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 7, 1.307585E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 8, 1.851564E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 9, 8.069682E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 10, 4.776598E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 11, 9.889998E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 12, 1.744212E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 13, 3.921706E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 14, 5.113697E-03
Feedback001, 1, EMG_Corr_RMS, 5, 1, -9.30751E-04
Feedback001, 1, EMG_Corr_RMS, 5, 2, 2.356773E-03
Feedback001, 1, EMG_Corr_RMS, 5, 3, 0
Feedback001, 1, EMG_Corr_RMS, 5, 4, -6.935652E-05
Feedback001, 1, EMG_Corr_RMS, 5, 5, 7.61803E-04
Feedback001, 1, EMG_Corr_RMS, 5, 6, 4.995447E-04
Feedback001, 1, EMG_Corr_RMS, 5, 7, -3.030114E-04
Feedback001, 1, EMG_Corr_RMS, 5, 8, -7.964291E-04
Feedback001, 1, EMG_Corr_RMS, 5, 9, 6.271884E-03
Feedback001, 1, EMG_Corr_RMS, 5, 10, 6.489061E-03
Feedback001, 1, EMG_Corr_RMS, 5, 11, 1.258981E-03
Feedback001, 1, EMG_Corr_RMS, 5, 12, 6.710622E-05
Feedback001, 1, EMG_Corr_RMS, 5, 13, -7.19822E-04
Feedback001, 1, EMG_Corr_RMS, 5, 14, 8.406277E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 1, -1.269527E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 2, -2.115562E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 5, 4, -1.330452E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 5, -7.734192E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 6, 1.322702E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 7, 9.166636E-05
Feedback001, 1, EMG_Zygo_RMS, 5, 8, 2.928027E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 9, 2.136635E-02
Feedback001, 1, EMG_Zygo_RMS, 5, 10, 0.1256963
Feedback001, 1, EMG_Zygo_RMS, 5, 11, 2.826351E-02
Feedback001, 1, EMG_Zygo_RMS, 5, 12, 4.101473E-02
Feedback001, 1, EMG_Zygo_RMS, 5, 13, 5.312082E-02
Feedback001, 1, EMG_Zygo_RMS, 5, 14, 0.1406789
Feedback001, 1, EMG_Corr_RMS, 6, 1, 9.477979E-04
Feedback001, 1, EMG_Corr_RMS, 6, 2, 8.510074E-04
Feedback001, 1, EMG_Corr_RMS, 6, 3, 0
Feedback001, 1, EMG_Corr_RMS, 6, 4, 8.0238E-04
Feedback001, 1, EMG_Corr_RMS, 6, 5, 2.269724E-04
Feedback001, 1, EMG_Corr_RMS, 6, 6, -1.821187E-04
Feedback001, 1, EMG_Corr_RMS, 6, 7, 1.897714E-04
Feedback001, 1, EMG_Corr_RMS, 6, 8, 2.442687E-04
Feedback001, 1, EMG_Corr_RMS, 6, 9, -7.661891E-04
Feedback001, 1, EMG_Corr_RMS, 6, 10, 3.470783E-04
Feedback001, 1, EMG_Corr_RMS, 6, 11, 5.101776E-04
Feedback001, 1, EMG_Corr_RMS, 6, 12, 5.287076E-04
Feedback001, 1, EMG_Corr_RMS, 6, 13, 4.487513E-04
Feedback001, 1, EMG_Corr_RMS, 6, 14, 2.861004E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 1, 1.005477E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 2, -4.606275E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 6, 4, 1.939617E-03
Feedback001, 1, EMG_Zygo_RMS, 6, 5, 8.14558E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 6, 6.844881E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 7, 4.817052E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 8, 9.408193E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 9, 1.793508E-03
Feedback001, 1, EMG_Zygo_RMS, 6, 10, 3.116667E-03
Feedback001, 1, EMG_Zygo_RMS, 6, 11, -7.747789E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 12, 1.841672E-03
Feedback001, 1, EMG_Zygo_RMS, 6, 13, 9.096914E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 14, 2.216929E-03
Feedback001, 1, EMG_Corr_RMS, 7, 1, -0.0101383
Feedback001, 1, EMG_Corr_RMS, 7, 2, -8.655492E-03
Feedback001, 1, EMG_Corr_RMS, 7, 3, 0
Feedback001, 1, EMG_Corr_RMS, 7, 4, -3.529369E-03
Feedback001, 1, EMG_Corr_RMS, 7, 5, -9.757486E-03
Feedback001, 1, EMG_Corr_RMS, 7, 6, -1.005794E-02
Feedback001, 1, EMG_Corr_RMS, 7, 7, -8.831233E-03
Feedback001, 1, EMG_Corr_RMS, 7, 8, -9.197861E-03
Feedback001, 1, EMG_Corr_RMS, 7, 9, -1.014095E-02
Feedback001, 1, EMG_Corr_RMS, 7, 10, -9.548075E-03
Feedback001, 1, EMG_Corr_RMS, 7, 11, -1.042026E-02
Feedback001, 1, EMG_Corr_RMS, 7, 12, -1.042539E-02
Feedback001, 1, EMG_Corr_RMS, 7, 13, -1.014322E-02
Feedback001, 1, EMG_Corr_RMS, 7, 14, -7.421274E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 1, -9.655531E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 2, -9.097682E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 7, 4, -4.693276E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 5, -0.0403953
Feedback001, 1, EMG_Zygo_RMS, 7, 6, -6.662601E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 7, -8.907953E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 8, -9.040451E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 9, -0.0887747
Feedback001, 1, EMG_Zygo_RMS, 7, 10, -8.765955E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 11, -9.143277E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 12, -8.801464E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 13, -8.142753E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 14, -9.003083E-02
Feedback001, 1, EMG_Corr_RMS, 8, 1, -1.454358E-04
Feedback001, 1, EMG_Corr_RMS, 8, 2, -5.691745E-04
Feedback001, 1, EMG_Corr_RMS, 8, 3, 0
Feedback001, 1, EMG_Corr_RMS, 8, 4, 2.16335E-03
Feedback001, 1, EMG_Corr_RMS, 8, 5, 1.028352E-02
Feedback001, 1, EMG_Corr_RMS, 8, 6, 2.266954E-03
Feedback001, 1, EMG_Corr_RMS, 8, 7, -1.273339E-04
Feedback001, 1, EMG_Corr_RMS, 8, 8, -1.156676E-03
Feedback001, 1, EMG_Corr_RMS, 8, 9, -8.068432E-04
Feedback001, 1, EMG_Corr_RMS, 8, 10, -8.915761E-04
Feedback001, 1, EMG_Corr_RMS, 8, 11, -1.970045E-04
Feedback001, 1, EMG_Corr_RMS, 8, 12, -3.830597E-04
Feedback001, 1, EMG_Corr_RMS, 8, 13, -1.013382E-03
Feedback001, 1, EMG_Corr_RMS, 8, 14, -7.064128E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 1, -1.783391E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 2, 2.02456E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 8, 4, 0.0141481
Feedback001, 1, EMG_Zygo_RMS, 8, 5, 7.551115E-02
Feedback001, 1, EMG_Zygo_RMS, 8, 6, 2.931369E-02
Feedback001, 1, EMG_Zygo_RMS, 8, 7, 3.082833E-02
Feedback001, 1, EMG_Zygo_RMS, 8, 8, 1.517395E-02
Feedback001, 1, EMG_Zygo_RMS, 8, 9, -1.139531E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 10, -1.60926E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 11, 2.038665E-06
Feedback001, 1, EMG_Zygo_RMS, 8, 12, -2.424967E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 13, -4.184152E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 14, -4.841771E-03
Feedback001, 1, EMG_Corr_RMS, 9, 1, -6.709674E-04
Feedback001, 1, EMG_Corr_RMS, 9, 2, -4.478302E-04
Feedback001, 1, EMG_Corr_RMS, 9, 3, 0
Feedback001, 1, EMG_Corr_RMS, 9, 4, 1.908934E-03
Feedback001, 1, EMG_Corr_RMS, 9, 5, 8.173903E-03
Feedback001, 1, EMG_Corr_RMS, 9, 6, 7.89531E-03
Feedback001, 1, EMG_Corr_RMS, 9, 7, 1.189085E-03
Feedback001, 1, EMG_Corr_RMS, 9, 8, -1.061809E-03
Feedback001, 1, EMG_Corr_RMS, 9, 9, 8.7549E-04
Feedback001, 1, EMG_Corr_RMS, 9, 10, 6.067706E-05
Feedback001, 1, EMG_Corr_RMS, 9, 11, -5.06856E-05
Feedback001, 1, EMG_Corr_RMS, 9, 12, -1.125063E-04
Feedback001, 1, EMG_Corr_RMS, 9, 13, -3.925776E-04
Feedback001, 1, EMG_Corr_RMS, 9, 14, 1.416981E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 1, -1.481301E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 2, -7.637382E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 9, 4, 1.779353E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 5, 6.969489E-02
Feedback001, 1, EMG_Zygo_RMS, 9, 6, 5.206396E-02
Feedback001, 1, EMG_Zygo_RMS, 9, 7, 4.379841E-02
Feedback001, 1, EMG_Zygo_RMS, 9, 8, 3.558153E-02
Feedback001, 1, EMG_Zygo_RMS, 9, 9, 2.206996E-02
Feedback001, 1, EMG_Zygo_RMS, 9, 10, 5.126074E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 11, 4.04094E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 12, 7.439607E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 13, 5.584412E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 14, 5.778011E-03
Feedback001, 1, EMG_Corr_RMS, 10, 1, -8.291239E-05
Feedback001, 1, EMG_Corr_RMS, 10, 2, -1.563039E-03
Feedback001, 1, EMG_Corr_RMS, 10, 3, 0
Feedback001, 1, EMG_Corr_RMS, 10, 4, -4.912526E-04
Feedback001, 1, EMG_Corr_RMS, 10, 5, -7.635162E-04
Feedback001, 1, EMG_Corr_RMS, 10, 6, -2.985185E-04
Feedback001, 1, EMG_Corr_RMS, 10, 7, -1.217995E-03
Feedback001, 1, EMG_Corr_RMS, 10, 8, -1.385939E-03
Feedback001, 1, EMG_Corr_RMS, 10, 9, -3.768562E-04
Feedback001, 1, EMG_Corr_RMS, 10, 10, -4.485066E-04
Feedback001, 1, EMG_Corr_RMS, 10, 11, -1.106595E-03
Feedback001, 1, EMG_Corr_RMS, 10, 12, 7.223705E-03
Feedback001, 1, EMG_Corr_RMS, 10, 13, 4.146028E-03
Feedback001, 1, EMG_Corr_RMS, 10, 14, -1.416655E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 1, -2.612368E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 2, -1.049117E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 10, 4, 3.198261E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 5, 3.454515E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 6, 3.957116E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 7, 1.525123E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 8, -4.68106E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 9, -7.630384E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 10, 9.105471E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 11, 5.043736E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 12, 8.280124E-02
Feedback001, 1, EMG_Zygo_RMS, 10, 13, 3.179793E-02
Feedback001, 1, EMG_Zygo_RMS, 10, 14, 4.569505E-02
Feedback001, 1, EMG_Corr_RMS, 11, 1, 5.96246E-04
Feedback001, 1, EMG_Corr_RMS, 11, 2, 5.007901E-04
Feedback001, 1, EMG_Corr_RMS, 11, 3, 0
Feedback001, 1, EMG_Corr_RMS, 11, 4, 1.774561E-04
Feedback001, 1, EMG_Corr_RMS, 11, 5, 6.93464E-04
Feedback001, 1, EMG_Corr_RMS, 11, 6, 6.143889E-03
Feedback001, 1, EMG_Corr_RMS, 11, 7, 7.777942E-03
Feedback001, 1, EMG_Corr_RMS, 11, 8, 3.21359E-03
Feedback001, 1, EMG_Corr_RMS, 11, 9, 5.059033E-04
Feedback001, 1, EMG_Corr_RMS, 11, 10, 1.776143E-03
Feedback001, 1, EMG_Corr_RMS, 11, 11, -1.893649E-04
Feedback001, 1, EMG_Corr_RMS, 11, 12, 6.512539E-04
Feedback001, 1, EMG_Corr_RMS, 11, 13, -2.822082E-04
Feedback001, 1, EMG_Corr_RMS, 11, 14, 6.909126E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 1, -6.309885E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 2, 4.158956E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 11, 4, -1.141406E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 5, 3.808113E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 6, 0.0432305
Feedback001, 1, EMG_Zygo_RMS, 11, 7, 7.975452E-02
Feedback001, 1, EMG_Zygo_RMS, 11, 8, 5.719411E-02
Feedback001, 1, EMG_Zygo_RMS, 11, 9, 0.0453149
Feedback001, 1, EMG_Zygo_RMS, 11, 10, 2.016113E-02
Feedback001, 1, EMG_Zygo_RMS, 11, 11, 4.428509E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 12, 2.268314E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 13, 5.108219E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 14, 7.367193E-03
Feedback001, 1, EMG_Corr_RMS, 12, 1, 2.084097E-04
Feedback001, 1, EMG_Corr_RMS, 12, 2, 2.498415E-04
Feedback001, 1, EMG_Corr_RMS, 12, 3, 0
Feedback001, 1, EMG_Corr_RMS, 12, 4, 5.656218E-04
Feedback001, 1, EMG_Corr_RMS, 12, 5, -3.176373E-04
Feedback001, 1, EMG_Corr_RMS, 12, 6, -4.436809E-04
Feedback001, 1, EMG_Corr_RMS, 12, 7, 1.776707E-04
Feedback001, 1, EMG_Corr_RMS, 12, 8, 4.124644E-04
Feedback001, 1, EMG_Corr_RMS, 12, 9, 2.192191E-04
Feedback001, 1, EMG_Corr_RMS, 12, 10, 7.357284E-03
Feedback001, 1, EMG_Corr_RMS, 12, 11, 4.025451E-03
Feedback001, 1, EMG_Corr_RMS, 12, 12, 1.799231E-04
Feedback001, 1, EMG_Corr_RMS, 12, 13, 7.647921E-04
Feedback001, 1, EMG_Corr_RMS, 12, 14, 1.93401E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 1, 1.777689E-03
Feedback001, 1, EMG_Zygo_RMS, 12, 2, 5.528966E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 12, 4, 4.216093E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 5, -4.766033E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 6, 2.324587E-03
Feedback001, 1, EMG_Zygo_RMS, 12, 7, -4.51149E-05
Feedback001, 1, EMG_Zygo_RMS, 12, 8, -5.999018E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 9, 8.765112E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 10, 7.188527E-02
Feedback001, 1, EMG_Zygo_RMS, 12, 11, 2.457149E-02
