experiment_name,participant,session,age,gender,psychopy_version,date,trial_block,block,trial,hand,congruencyNmin1,congruency,correct_key,feedback,made,response,correct,rt,extra_keys
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,1,left,NA,incongruent,g,Feedback,FALSE,NA,NA,NA,"[('f', 0.07909950002795085)]"
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,2,right,incongruent,congruent,n,Feedback,TRUE,n,TRUE,582.0363000384532,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,3,left,congruent,incongruent,f,Feedback,TRUE,f,TRUE,789.6834000130184,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,4,right,incongruent,incongruent,j,Feedback,TRUE,j,TRUE,477.444100077264,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,5,left,incongruent,incongruent,g,Feedback,TRUE,g,TRUE,605.2893999731168,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,6,right,incongruent,incongruent,j,Feedback,TRUE,j,TRUE,564.8987999884412,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,7,left,incongruent,incongruent,f,Feedback,TRUE,f,TRUE,572.7680000127293,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,8,right,incongruent,congruent,n,Feedback,TRUE,n,TRUE,380.396500055213,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,9,left,congruent,congruent,f,Feedback,TRUE,f,TRUE,508.06340004783124,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,10,right,congruent,incongruent,j,Feedback,TRUE,j,TRUE,587.8624000470154,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,11,left,incongruent,congruent,f,Feedback,TRUE,f,TRUE,443.62700002966426,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,12,right,congruent,congruent,n,Feedback,TRUE,j,FALSE,459.3590999720618,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,13,left,congruent,congruent,g,Feedback,TRUE,f,FALSE,914.5824000588618,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,14,right,congruent,incongruent,j,Feedback,TRUE,j,TRUE,586.0347000416366,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,15,left,incongruent,congruent,g,Feedback,TRUE,g,TRUE,617.9126000497492,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,16,right,congruent,congruent,n,Feedback,TRUE,n,TRUE,649.5243000099433,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,17,left,congruent,incongruent,g,Feedback,TRUE,g,TRUE,593.3045000419952,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,18,right,incongruent,congruent,j,Feedback,TRUE,j,TRUE,489.0679999953136,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,19,left,congruent,congruent,f,Feedback,TRUE,f,TRUE,544.6216000127606,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,20,right,congruent,incongruent,n,Feedback,TRUE,n,TRUE,480.96160002751253,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,21,left,incongruent,incongruent,g,Feedback,TRUE,g,TRUE,576.2904000584967,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,22,right,incongruent,incongruent,n,Feedback,TRUE,n,TRUE,575.968399993144,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,23,left,incongruent,incongruent,f,Feedback,TRUE,f,TRUE,535.6448999955319,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,practice,1,24,right,incongruent,incongruent,n,Feedback,TRUE,n,TRUE,463.29260006314144,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,1,right,incongruent,congruent,j,Feedback,TRUE,j,TRUE,519.7193000349218,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,2,left,congruent,congruent,g,Feedback,TRUE,g,TRUE,615.4222000623122,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,3,right,congruent,congruent,n,Feedback,TRUE,n,TRUE,743.2154000853186,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,4,left,congruent,incongruent,g,Feedback,TRUE,f,FALSE,574.9610999482684,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,5,right,incongruent,incongruent,n,Feedback,TRUE,n,TRUE,494.53360005281866,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,6,left,incongruent,congruent,g,Feedback,TRUE,g,TRUE,430.4052999941632,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,7,right,congruent,congruent,j,Feedback,TRUE,j,TRUE,542.0830000075512,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,8,left,congruent,incongruent,g,Feedback,TRUE,g,TRUE,485.87230005068704,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,9,right,incongruent,congruent,n,Feedback,TRUE,n,TRUE,549.693200038746,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,10,left,congruent,congruent,g,Feedback,TRUE,g,TRUE,653.1625000643544,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,11,right,congruent,incongruent,n,Feedback,TRUE,n,TRUE,773.0138000333682,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,12,left,incongruent,congruent,f,Feedback,TRUE,g,FALSE,508.84980004047975,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,13,right,congruent,incongruent,j,Feedback,TRUE,j,TRUE,548.5372000257485,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,14,left,incongruent,incongruent,f,Feedback,TRUE,f,TRUE,556.2873000162654,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,15,right,incongruent,incongruent,j,Feedback,TRUE,j,TRUE,483.89069997938327,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,16,left,incongruent,incongruent,f,Feedback,TRUE,f,TRUE,547.7875000797212,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,17,right,incongruent,incongruent,n,Feedback,TRUE,n,TRUE,507.4396000127308,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,18,left,incongruent,incongruent,g,Feedback,TRUE,f,FALSE,555.3094000206329,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,19,right,incongruent,incongruent,n,Feedback,TRUE,n,TRUE,498.80760005908064,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,20,left,incongruent,congruent,f,Feedback,TRUE,f,TRUE,554.8688999842852,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,21,right,congruent,congruent,j,Feedback,TRUE,j,TRUE,450.5216000252401,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,22,left,congruent,incongruent,g,Feedback,TRUE,g,TRUE,554.1750999982467,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,23,right,incongruent,congruent,n,Feedback,TRUE,n,TRUE,593.7718000495806,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,24,left,congruent,incongruent,g,Feedback,TRUE,g,TRUE,897.6565999910235,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,25,right,incongruent,congruent,j,Feedback,TRUE,j,TRUE,529.2966999695636,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,26,left,congruent,congruent,f,Feedback,TRUE,f,TRUE,593.0798999615945,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,27,right,congruent,congruent,n,Feedback,TRUE,n,TRUE,424.77419995702803,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,28,left,congruent,congruent,f,Feedback,FALSE,NA,NA,NA,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,29,right,congruent,incongruent,n,Feedback,FALSE,NA,NA,NA,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,30,left,incongruent,congruent,g,Feedback,TRUE,g,TRUE,520.0680999550968,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,31,right,congruent,incongruent,n,Feedback,TRUE,n,TRUE,591.7017000028864,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,32,left,incongruent,incongruent,f,Feedback,TRUE,f,TRUE,543.4941999847069,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,33,right,incongruent,incongruent,n,Feedback,TRUE,n,TRUE,631.1744000413453,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,34,left,incongruent,congruent,f,Feedback,TRUE,f,TRUE,446.8495000619439,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,35,right,congruent,incongruent,j,Feedback,TRUE,j,TRUE,478.5369000164792,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,36,left,incongruent,incongruent,f,Feedback,TRUE,f,TRUE,550.5159999593161,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,37,right,incongruent,incongruent,j,Feedback,TRUE,j,TRUE,502.11729999864474,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,38,left,incongruent,congruent,g,Feedback,TRUE,g,TRUE,557.7991000027396,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,39,right,congruent,congruent,j,Feedback,TRUE,j,TRUE,413.4482000372375,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,40,left,congruent,incongruent,f,Feedback,TRUE,f,TRUE,437.3512999736704,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,41,right,incongruent,congruent,n,Feedback,TRUE,n,TRUE,509.120500064455,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,42,left,congruent,congruent,f,Feedback,TRUE,f,TRUE,436.8071000208147,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,43,right,congruent,incongruent,j,Feedback,TRUE,j,TRUE,532.6346000656486,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,44,left,incongruent,congruent,f,Feedback,TRUE,f,TRUE,484.5163999707438,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,45,right,congruent,congruent,j,Feedback,TRUE,j,TRUE,508.062700100709,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,46,left,congruent,congruent,g,Feedback,TRUE,g,TRUE,427.6701000635512,NA
Feedback,1,1,20,f,2021.2.3,2021_Nov_16_1219,trial,1,47,right,congruent,incongruent,j,Feedback,TRUE,j,TRUE,459.46350001031533,NA
