experiment_name,participant,session,age,gender,psychopy_version,date,Screen.response.keys,Screen.response.made,Screen.response.key,Screen.response.rt,Screen.response.start_time,Screen.response.stop_time,Screen.response.marker_value,Screen.response.status,Screen.response.time_started,Screen.response.time_started_flip,Screen.response.time_started_global_flip,Screen.response.time_stopped,Screen.response.time_stopped_flip,Screen.response.time_stopped_global_flip,Screen.welcome_screen.start_time,Screen.welcome_screen.stop_time,Screen.welcome_screen.marker_value,Screen.welcome_screen.status,Screen.welcome_screen.time_started,Screen.welcome_screen.time_started_flip,Screen.welcome_screen.time_started_global_flip,Screen.welcome_screen.time_stopped,Screen.welcome_screen.time_stopped_flip,Screen.welcome_screen.time_stopped_global_flip,Screen.welcome_screen.name,Screen.instructions1.start_time,Screen.instructions1.stop_time,Screen.instructions1.marker_value,Screen.instructions1.status,Screen.instructions1.time_started,Screen.instructions1.time_started_flip,Screen.instructions1.time_started_global_flip,Screen.instructions1.time_stopped,Screen.instructions1.time_stopped_flip,Screen.instructions1.time_stopped_global_flip,Screen.instructions1.name,Screen.instructions2.start_time,Screen.instructions2.stop_time,Screen.instructions2.marker_value,Screen.instructions2.status,Screen.instructions2.time_started,Screen.instructions2.time_started_flip,Screen.instructions2.time_started_global_flip,Screen.instructions2.time_stopped,Screen.instructions2.time_stopped_flip,Screen.instructions2.time_stopped_global_flip,Screen.instructions2.name,Screen.instructions3.start_time,Screen.instructions3.stop_time,Screen.instructions3.marker_value,Screen.instructions3.status,Screen.instructions3.time_started,Screen.instructions3.time_started_flip,Screen.instructions3.time_started_global_flip,Screen.instructions3.time_stopped,Screen.instructions3.time_stopped_flip,Screen.instructions3.time_stopped_global_flip,Screen.instructions3.name,Screen.instructions4.start_time,Screen.instructions4.stop_time,Screen.instructions4.marker_value,Screen.instructions4.status,Screen.instructions4.time_started,Screen.instructions4.time_started_flip,Screen.instructions4.time_started_global_flip,Screen.instructions4.time_stopped,Screen.instructions4.time_stopped_flip,Screen.instructions4.time_stopped_global_flip,Screen.instructions4.name,Screen.instructions5.start_time,Screen.instructions5.stop_time,Screen.instructions5.marker_value,Screen.instructions5.status,Screen.instructions5.time_started,Screen.instructions5.time_started_flip,Screen.instructions5.time_started_global_flip,Screen.instructions5.time_stopped,Screen.instructions5.time_stopped_flip,Screen.instructions5.time_stopped_global_flip,Screen.instructions5.name,trial_block,block,trial,hand,congruency,distractor_text,target_text,correct_key,feedback_block,marker_start,marker_end,Trial.response.correct_key,Trial.response.correct,Trial.response.marker_values,Trial.response.keys,Trial.response.made,Trial.response.key,Trial.response.rt,Trial.response.start_time,Trial.response.stop_time,Trial.response.marker_value,Trial.response.status,Trial.response.time_started,Trial.response.time_started_flip,Trial.response.time_started_global_flip,Trial.response.time_stopped,Trial.response.time_stopped_flip,Trial.response.time_stopped_global_flip,Trial.distractor.start_time,Trial.distractor.stop_time,Trial.distractor.marker_value,Trial.distractor.status,Trial.distractor.time_started,Trial.distractor.time_started_flip,Trial.distractor.time_started_global_flip,Trial.distractor.time_stopped,Trial.distractor.time_stopped_flip,Trial.distractor.time_stopped_global_flip,Trial.distractor.name,Trial.target.start_time,Trial.target.stop_time,Trial.target.marker_value,Trial.target.status,Trial.target.time_started,Trial.target.time_started_flip,Trial.target.time_started_global_flip,Trial.target.time_stopped,Trial.target.time_stopped_flip,Trial.target.time_stopped_global_flip,Trial.target.name,Feedback.feedback.start_time,Feedback.feedback.stop_time,Feedback.feedback.marker_value,Feedback.feedback.status,Feedback.feedback.time_started,Feedback.feedback.time_started_flip,Feedback.feedback.time_started_global_flip,Feedback.feedback.time_stopped,Feedback.feedback.time_stopped_flip,Feedback.feedback.time_stopped_global_flip,Feedback.feedback.name,post_response_keypresses,Screen.text.start_time,Screen.text.stop_time,Screen.text.marker_value,Screen.text.status,Screen.text.time_started,Screen.text.time_started_flip,Screen.text.time_started_global_flip,Screen.text.time_stopped,Screen.text.time_stopped_flip,Screen.text.time_stopped_global_flip,Screen.text.name,Screen.post_trial.start_time,Screen.post_trial.stop_time,Screen.post_trial.marker_value,Screen.post_trial.status,Screen.post_trial.time_started,Screen.post_trial.time_started_flip,Screen.post_trial.time_started_global_flip,Screen.post_trial.time_stopped,Screen.post_trial.time_stopped_flip,Screen.post_trial.time_stopped_global_flip,Screen.post_trial.name,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,['space'],True,space,1398.8770790000563,0.0,inf,None,-1,0.018571500084362924,0.033342699985951185,44.480545399966644,1398.878235900076,1398.892581400054,1443.339784100023,0.0,inf,None,-1,0.018571500084362924,0.033342699985951185,44.480545399966644,1398.878235900076,1398.892581400054,1443.339784100023,welcome_screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,['space'],True,space,6.7438152999966405,0.0,inf,None,-1,-0.013587099965661764,-2.7799978852272034e-05,1443.3563572000246,6.742594100011047,6.757146699994337,1450.1135316999978,,,,,,,,,,,,0.0,inf,None,-1,-0.013587099965661764,-2.7799978852272034e-05,1443.3563572000246,6.742594100011047,6.757146699994337,1450.1135316999978,instructions1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,['space'],True,space,8.50579550000839,0.0,inf,None,-1,-0.013592900068033487,-2.670002868399024e-05,1450.130394700053,8.510034999984782,8.524430199933704,1458.6548516000155,,,,,,,,,,,,,,,,,,,,,,,0.0,inf,None,-1,-0.013592900068033487,-2.670002868399024e-05,1450.130394700053,8.510034999984782,8.524430199933704,1458.6548516000155,instructions2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,['space'],True,space,52.004172699991614,0.0,inf,None,-1,-0.01359199994476512,-2.619996666908264e-05,1458.671578900027,52.002555700019,52.01709860004485,1510.6887037000386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,inf,None,-1,-0.01359199994476512,-2.619996666908264e-05,1458.671578900027,52.002555700019,52.01709860004485,1510.6887037000386,instructions3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,['space'],True,space,3.2565541999647394,0.0,inf,None,-1,-0.01358190004248172,-2.8300040867179632e-05,1510.7071355000487,3.255023999954574,3.269564999907743,1513.9767287999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,inf,None,-1,-0.01358190004248172,-2.8300040867179632e-05,1510.7071355000487,3.255023999954574,3.269564999907743,1513.9767287999973,instructions4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,['space'],True,space,1.6419103000080213,0.0,inf,None,-1,-0.013592999952379614,-2.8799986466765404e-05,1513.9936416000244,1.6537396000348963,1.668131300015375,1515.6618017000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,inf,None,-1,-0.013592999952379614,-2.8799986466765404e-05,1513.9936416000244,1.6537396000348963,1.668131300015375,1515.6618017000262,instructions5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice,1,1,0,1,Links\nLinks\nLinks,Rechts,g,True,73,83,g,None,"[41, 42, 43]","['f', 'g', 'j', 'n']",False,None,None,1.3,2.683,43,-1,1.2859315001405776,1.3024929001112469,1517.9942740000085,2.670637800125405,2.6872003001044504,1519.3789814000017,1.0,1.133,None,-1,0.9856074001290835,1.0021712001180276,1517.6939523000153,1.1190809001564048,1.135642500128597,1517.827423600026,distractor,1.166,1.3,45,-1,1.1524902001256123,1.169051300152205,1517.8608324000495,1.2859315001405776,1.3024929001112469,1517.9942740000085,target,0.0,0.2,None,-1,-0.0038674999959766865,-2.6500027161091566e-05,1519.4123561000101,0.18362500000512227,0.2001825000043027,1519.61256510003,feedback,"[('f', 0.07909950002795085)]",,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice,1,2,1,0,Unten\nUnten\nUnten,Unten,n,True,78,88,n,True,"[41, 42, 43]","['f', 'g', 'j', 'n']",True,n,1.7497915000421926,1.3,2.683,41,-1,1.2846933000255376,1.3012540999916382,1520.9472317000152,2.669396100041922,2.6859584000194445,1522.331936000043,1.0,1.133,None,-1,0.9843687000102364,1.0009302999824286,1520.646907900006,1.1178284999914467,1.1343890000134706,1520.780366600037,distractor,1.166,1.3,45,-1,1.151193300029263,1.1677552000037394,1520.8137328000273,1.2846933000255376,1.3012540999916382,1520.9472317000152,target,0.0,0.2,None,-1,-0.00518119998741895,-2.670002868399024e-05,1522.3486128000193,0.18358149996493012,0.20014479995006695,1522.548784299998,feedback,[],,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice,1,3,0,1,Rechts\nRechts\nRechts,Links,f,True,72,82,f,True,"[41, 42, 43]","['f', 'g', 'j', 'n']",True,f,1.957485800026916,1.3,2.683,41,-1,1.284742800053209,1.3013049000292085,1523.8834782000165,2.6694424000452273,2.686005500028841,1525.2681788000161,1.0,1.133,None,-1,0.9844694000785239,1.0010333000100218,1523.5832065999973,1.1179064000607468,1.1344653000123799,1523.7166385999997,distractor,1.166,1.3,45,-1,1.151240700040944,1.1678024000138976,1523.7499757000012,1.284742800053209,1.3013049000292085,1523.8834782000165,target,0.0,0.2,None,-1,-0.0059831999824382365,-2.4900014977902174e-05,1525.2848677000263,0.18359460000647232,0.20015529997181147,1525.4850479000131,feedback,[],,,,,,,,,,,,,,,,,,,,,,,
Feedback,001,001,20,f,2021.2.3,2021_Nov_16_1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice,1,4,1,1,Unten\nUnten\nUnten,Oben,j,True,76,86,j,True,"[41, 42, 43]","['f', 'g', 'j', 'n']",True,j,1.6452217000769451,1.3,2.683,41,-1,1.2847245000302792,1.301285800000187,1526.8197628000169,2.669434200040996,2.685998400032986,1528.2044754000497,1.0,1.133,None,-1,0.9844204999972135,1.000983499980066,1526.5194604999967,1.117852800001856,1.1344133000238799,1526.6528903000406,distractor,1.166,1.3,45,-1,1.1512168000335805,1.1677775999996811,1526.6862546000164,1.2847245000302792,1.301285800000187,1526.8197628000169,target,0.0,0.2,None,-1,-0.005999000044539571,-2.5100016500800848e-05,1528.221086300048,0.18363799998769537,0.200201699975878,1528.4213131000404,feedback,[],,,,,,,,,,,,,,,,,,,,,,,
