File, Count, Channel, Segment, Bin, Value
Feedback001, 1, EMG_Corr_RMS, 1, 1, 3.197016E-04
Feedback001, 1, EMG_Corr_RMS, 1, 2, 6.285384E-04
Feedback001, 1, EMG_Corr_RMS, 1, 3, 0
Feedback001, 1, EMG_Corr_RMS, 1, 4, 5.388055E-04
Feedback001, 1, EMG_Corr_RMS, 1, 5, 9.974521E-04
Feedback001, 1, EMG_Corr_RMS, 1, 6, 1.877396E-03
Feedback001, 1, EMG_Corr_RMS, 1, 7, 9.155259E-03
Feedback001, 1, EMG_Corr_RMS, 1, 8, 4.672327E-03
Feedback001, 1, EMG_Corr_RMS, 1, 9, 6.799225E-04
Feedback001, 1, EMG_Corr_RMS, 1, 10, 1.207067E-03
Feedback001, 1, EMG_Corr_RMS, 1, 11, 2.030562E-03
Feedback001, 1, EMG_Corr_RMS, 1, 12, 6.158317E-04
Feedback001, 1, EMG_Corr_RMS, 1, 13, 6.860322E-04
Feedback001, 1, EMG_Corr_RMS, 1, 14, 7.126618E-04
Feedback001, 1, EMG_Zygo_RMS, 1, 1, 1.580614E-04
Feedback001, 1, EMG_Zygo_RMS, 1, 2, 6.291572E-04
Feedback001, 1, EMG_Zygo_RMS, 1, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 1, 4, 8.736959E-04
Feedback001, 1, EMG_Zygo_RMS, 1, 5, 6.078776E-04
Feedback001, 1, EMG_Zygo_RMS, 1, 6, 2.288111E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 7, 2.380946E-02
Feedback001, 1, EMG_Zygo_RMS, 1, 8, 7.640553E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 9, 4.822367E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 10, 2.207026E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 11, 2.200904E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 12, 2.219291E-03
Feedback001, 1, EMG_Zygo_RMS, 1, 13, 8.107856E-04
Feedback001, 1, EMG_Zygo_RMS, 1, 14, 2.435566E-03
Feedback001, 1, EMG_Corr_RMS, 2, 1, -1.398304E-04
Feedback001, 1, EMG_Corr_RMS, 2, 2, -7.826375E-04
Feedback001, 1, EMG_Corr_RMS, 2, 3, 0
Feedback001, 1, EMG_Corr_RMS, 2, 4, 6.840809E-04
Feedback001, 1, EMG_Corr_RMS, 2, 5, 4.484835E-04
Feedback001, 1, EMG_Corr_RMS, 2, 6, -5.411984E-04
Feedback001, 1, EMG_Corr_RMS, 2, 7, -1.007286E-03
Feedback001, 1, EMG_Corr_RMS, 2, 8, -2.676456E-04
Feedback001, 1, EMG_Corr_RMS, 2, 9, -5.247891E-04
Feedback001, 1, EMG_Corr_RMS, 2, 10, 1.453157E-04
Feedback001, 1, EMG_Corr_RMS, 2, 11, 5.99788E-04
Feedback001, 1, EMG_Corr_RMS, 2, 12, -1.386413E-04
Feedback001, 1, EMG_Corr_RMS, 2, 13, -7.925812E-04
Feedback001, 1, EMG_Corr_RMS, 2, 14, -1.417401E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 1, 7.272577E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 2, -1.899858E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 2, 4, -1.343505E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 5, 7.272153E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 6, 1.335473E-03
Feedback001, 1, EMG_Zygo_RMS, 2, 7, -4.32391E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 8, 1.954405E-03
Feedback001, 1, EMG_Zygo_RMS, 2, 9, 3.969853E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 10, 1.390775E-03
Feedback001, 1, EMG_Zygo_RMS, 2, 11, -4.030525E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 12, 3.075174E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 13, -1.32231E-04
Feedback001, 1, EMG_Zygo_RMS, 2, 14, -4.125737E-04
Feedback001, 1, EMG_Corr_RMS, 3, 1, 2.395803E-04
Feedback001, 1, EMG_Corr_RMS, 3, 2, 5.270379E-04
Feedback001, 1, EMG_Corr_RMS, 3, 3, 0
Feedback001, 1, EMG_Corr_RMS, 3, 4, 2.647556E-03
Feedback001, 1, EMG_Corr_RMS, 3, 5, 6.51187E-03
Feedback001, 1, EMG_Corr_RMS, 3, 6, 7.860529E-04
Feedback001, 1, EMG_Corr_RMS, 3, 7, 1.347574E-04
Feedback001, 1, EMG_Corr_RMS, 3, 8, 6.994576E-04
Feedback001, 1, EMG_Corr_RMS, 3, 9, 8.273363E-04
Feedback001, 1, EMG_Corr_RMS, 3, 10, 8.739062E-04
Feedback001, 1, EMG_Corr_RMS, 3, 11, 6.48034E-05
Feedback001, 1, EMG_Corr_RMS, 3, 12, 2.269158E-04
Feedback001, 1, EMG_Corr_RMS, 3, 13, 4.181297E-04
Feedback001, 1, EMG_Corr_RMS, 3, 14, 8.293822E-04
Feedback001, 1, EMG_Zygo_RMS, 3, 1, 2.376237E-04
Feedback001, 1, EMG_Zygo_RMS, 3, 2, 7.975604E-04
Feedback001, 1, EMG_Zygo_RMS, 3, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 3, 4, 3.038574E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 5, 1.074494E-02
Feedback001, 1, EMG_Zygo_RMS, 3, 6, 2.501817E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 7, 2.269937E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 8, 1.263552E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 9, 9.487001E-04
Feedback001, 1, EMG_Zygo_RMS, 3, 10, 4.058073E-04
Feedback001, 1, EMG_Zygo_RMS, 3, 11, 2.106538E-04
Feedback001, 1, EMG_Zygo_RMS, 3, 12, 8.234917E-04
Feedback001, 1, EMG_Zygo_RMS, 3, 13, 1.058906E-03
Feedback001, 1, EMG_Zygo_RMS, 3, 14, 1.684233E-03
Feedback001, 1, EMG_Corr_RMS, 4, 1, 1.695042E-04
Feedback001, 1, EMG_Corr_RMS, 4, 2, -5.772791E-04
Feedback001, 1, EMG_Corr_RMS, 4, 3, 0
Feedback001, 1, EMG_Corr_RMS, 4, 4, -2.510613E-05
Feedback001, 1, EMG_Corr_RMS, 4, 5, -9.020893E-04
Feedback001, 1, EMG_Corr_RMS, 4, 6, -2.98474E-04
Feedback001, 1, EMG_Corr_RMS, 4, 7, -7.360167E-04
Feedback001, 1, EMG_Corr_RMS, 4, 8, -7.417143E-04
Feedback001, 1, EMG_Corr_RMS, 4, 9, -1.050912E-03
Feedback001, 1, EMG_Corr_RMS, 4, 10, 9.128447E-04
Feedback001, 1, EMG_Corr_RMS, 4, 11, -4.476893E-04
Feedback001, 1, EMG_Corr_RMS, 4, 12, -4.574521E-04
Feedback001, 1, EMG_Corr_RMS, 4, 13, 3.631072E-03
Feedback001, 1, EMG_Corr_RMS, 4, 14, 7.82439E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 1, 3.559205E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 2, -1.380112E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 4, 4, -3.66702E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 5, 9.898015E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 6, 2.111495E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 7, 1.151073E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 8, 1.722162E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 9, 8.300815E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 10, 1.385235E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 11, 1.488947E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 12, 6.778894E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 13, 1.101909E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 14, 1.695801E-03
Feedback001, 1, EMG_Corr_RMS, 5, 1, -7.218011E-04
Feedback001, 1, EMG_Corr_RMS, 5, 2, 1.220893E-03
Feedback001, 1, EMG_Corr_RMS, 5, 3, 0
Feedback001, 1, EMG_Corr_RMS, 5, 4, -3.188027E-04
Feedback001, 1, EMG_Corr_RMS, 5, 5, 2.167351E-04
Feedback001, 1, EMG_Corr_RMS, 5, 6, 4.065596E-05
Feedback001, 1, EMG_Corr_RMS, 5, 7, -6.534341E-04
Feedback001, 1, EMG_Corr_RMS, 5, 8, -7.395528E-04
Feedback001, 1, EMG_Corr_RMS, 5, 9, 4.202971E-03
Feedback001, 1, EMG_Corr_RMS, 5, 10, 1.12638E-03
Feedback001, 1, EMG_Corr_RMS, 5, 11, 7.79018E-04
Feedback001, 1, EMG_Corr_RMS, 5, 12, -2.183253E-06
Feedback001, 1, EMG_Corr_RMS, 5, 13, -5.182121E-04
Feedback001, 1, EMG_Corr_RMS, 5, 14, 3.553513E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 1, -8.475629E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 2, -1.263938E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 5, 4, -9.07221E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 5, -1.288392E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 6, 5.023375E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 7, -3.079078E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 8, -1.528799E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 9, 2.927285E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 10, 5.219931E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 11, -4.29899E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 12, -9.698146E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 13, 2.314083E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 14, 0.0078221
Feedback001, 1, EMG_Corr_RMS, 6, 1, 6.943427E-04
Feedback001, 1, EMG_Corr_RMS, 6, 2, 6.977019E-04
Feedback001, 1, EMG_Corr_RMS, 6, 3, 0
Feedback001, 1, EMG_Corr_RMS, 6, 4, 3.366747E-04
